label,data
disgust,read about execut and massacr which happen dure world war ii i felt disgust toward those who did it
disgust,i read about a monk who had been murder and put into a barrel which wa fill with blood of pig
fear,i wa drive veri fast on a small road and i met an oncom car in a right hand bend the other driver wa on hi own side of the road and i had to skid out of it to avoid a collis it wa dark
fear,when my littl sister wa sick at home and i thought that she would die
fear,my uncl wa taken to the utc for an oper as he had cancer there had been a lot of death of late out of everi oper i wa scare for my uncl s life
fear,i went home late on even and saw that the secur light were off i got insid the gate and just then i realiz that the dog mai be outsid
fear,when i wa confront by a policeman on night around o clock i wa afraid when thei threaten to take me and my girl to the gallow
fear,i had gone for a medic check up at the u t h and fail to make it back on time for the c practic session at hour last academ year
fear,when i came back from work on dai the friend of my son told me that he had not come back from school and that he wa lost
fear,after listen to ghost stori with my classmat i had to back alon to the hostel at night i had to walk through a long and quiet road and i wa scare of meet a ghost
fear,after see a horror film omen i could not sleep at night even though i close my ey the last scene of the film kept come back to me i seem to hear the girl in the film shout at the devil the devil did not have ani express on hi face and i thought that he would choos me
fear,it wa a week befor the higher level result were announc i had tri and fail mani time and thi wa the last time that i wa take the exam i knew that if i fail again i woulld have to enter the societi i imagin thing dure thi period i dreamt that i had enter univers and it wa a nice experi when i thought about the futur an unexplain fear rose in me i fear be a worker and not have a bright prospect i also fear the critic of my rel as my brother had gone to univers whenevr i thought of thi issu i could not eat or concentr and my heart beat increas
fear,i wa a passeng in a vehicl when suddenli anoth vehicl came from behind to overtak us howev anoth on wa come right in front so the other vehicl chang cours and block our wai and so we crash against the side of the road
fear,onc when i wa ten i could not rememb why my mother wa so angri she faint suddenli and i wa veri scare as i did not know what to do
fear,two gui were fight murder and i fear that on of them would be kill
fear,on year when i went to a camp i wa chase by a dog i tri hard and final manag to escap from it my torch suddenli went off and we talk about ghost stori and i thought that there were ghost
fear,when my neighbour s hous wa broken into and shot could be heard
fear,when i wa an explor with my friend and almost got lost in an unfamiliar environ it wa get dark and we did not know how to get back home
fear,i wa on a trip to phillipin dure summer and i wa stai in a hotel the room i wa stai in wa veri silent and had veri dim light the last night i felt frighten and lai awak i could hear some sound around me and dare not open my ey i wait for dawn
fear,when i had to walk along a dark road alon
fear,we were drive at night and i realiz that a car wa follow us
fear,when i saw an accid a woman wa run over and she di on the spot
fear,when i took blood from a patient for alcohol estim and urin for some other examin he told me that someth bad would happen to me as he would plai magic on me
fear,at primari school the teacher caught me cheat dure a dictat
fear,when i impregn a certain girl i thought that i would be forc to marri her or go to court
fear,when a drunkard barg into a room where my friend and i had run in order to get awai from him we were all alon and all i could see wa thi hand come toward me
fear,when we forc a friend to chew a poison herb in primari school hi tongu wa swollen and he told hi mother about it the mother report it to the headmast who threaten to expel us
fear,no respons
fear,the dai the result of the certif exam came out i went to school and at first i did not feel frighten by the time i reach the fourth floor the result were be given on the fifth floor i found it difficult to walk and felt that i would die
fear,i wa walk through a thick forest and there wa a big snake at a distanc of about four metr
fear,when i wa young i had gone to an old lift and plai with the antiqu lift the gui discov me and warn me i wa veri frighten
fear,at night when i wa alon at home all the famili member usual get togeth at that time someon knock vigor on the door
fear,the dai i encount a queer mamba face to face in a chunk of leav behind our hous
guilt,feel guilt after greed bui chocol and pig out to the point of feel sick especi as i am fat
guilt,i spread abroad an intim secret
guilt,i had a quarrel with my father he wa depress becaus somebodi had treat him injustli as we had an argument it wa imposs for me to help him
guilt,failur to complet medic cours as a result of fail fourth year twice
guilt,i had an appoint with a friend i promis him to meet with him but at last i did not without have inform him
guilt,a good friend of mine who is at the moment in a foreign countri i didn t write her for sever month and now i feel guilti
guilt,when i told my uncl a fals stori that peopl had stolen the book from my room and i demand monei from him when he found out the truth i wa in troubl
guilt,when i break someon s thing out of careless or do someth to make other feel unhappi or hurt the self esteem self confid of other especi if thei happen to be friend or famili member
guilt,no respons
guilt,thi is a kind of confess my mum found me steal meat from the pot
guilt,i had a small argument with a rel and some other peopl got implic it result in a proper row
guilt,i wa to take a test and i had not made the necessari prepar until it wa too late there were two dai to go and i still had not done much
guilt,when a close classmat fail a year
guilt,i at biscuit on night after tea while watch tv i don t know why
guilt,when i realiz that not all my friend like the comment that i pass in their presenc
guilt,when i took drug
guilt,i wa of the opinion that pm wa too earli to be back at home after go out so i stai awai longer know that my mother would be worri
guilt,i wa drive a friend s car and i got close to the pavement to ask my wai and i struck a park car
guilt,i wa look after my cousin s littl daughter she fell down wa slightli injur and cri vocifer
guilt,when i wa face to face with my deceiv friend after sleep with hi wife
guilt,i wa on a visit to friend who have a babi the babi wa cry in anoth room but soon it becam quieter and it seem that it would fall asleep i went into the room where the babi wa ly and it start cry again
guilt,when in grade late home from school everi dai for week becaus of harass from a grade boi i li to mother about why i wa home late
guilt,i felt guilt toward my mother when i went to live on room in nijmegen where i studi
guilt,when i appli for a fals travel claim allow and later i thought that i would be found out
guilt,i wa so excit onc that i told my classmat that she wa old thi hurt her and i felt guilti
guilt,i wa at a board school dure my primari school dai i wa broken so i pretend i wa veri sick my father came and he pick me up he spent a lot of monei on medic expens which all prove to be neg
guilt,when i becam angri at my boyfriend without ani reason i know he cannot bear me be angri at him and that he can t studi anymor then
guilt,forc to fill in a questionnair
guilt,when i let a person assum a fault that i commit
guilt,in an exam i answer the question rather carelessli and afterward i thought that the exam would have been better had i answer more carefulli
guilt,no respons
guilt,be catch when steal
guilt,my friend came to the concert for my sake as it wa me who had organ it and the concert wa unsuccess
guilt,when i shoplift a pair of ear from cole and my mum caught me with them in my bag
guilt,when i finish a love affair where i wa respons of the sad end
guilt,my schoolmat were teas a pupil who wa not abl to defend himself veri well i should have taken hi part
guilt,when i argu with my sister it feel sometim that i have the upper hand and i us it i often argu better and thi make her terribl angri
joy,when i hook a girl in kitw she wa veri beauti for my standard a rare bird of thi kind accept me as a boyfriend
joy,six month ago when i got acquaintanc with a person whom i trust infinit and from whom i expect help and friendli feel with him i found much in common in our view and in our fate
joy,when i finish my c s project i wa overjoi i felt reliev becaus it wa due the next dai and i wa tire of look at it
joy,a sunni autumn dai after a long raini period
joy,when i wa accept as a student
joy,dure the exam period i studi in the librari alon a close friend of mine who is also a classmat told me that my applic for a japanes inter cultur exchang programm had been accept i wa not veri sure as i did not know that the list had been declar i ran to the board and saw that i wa realli includ in the list i wa so excit that i smile all dai long when i met my classmat and friend i told them the good new i wa so happi that i could not concentr on my studi
joy,i felt it when on duti in the hospit i understood that i wa not afraid to face death that i also help a littl to reliev the pain of a patient
joy,i wa happi when i understood that the girl i like wa in love with me
joy,i got a fairli larg amount of my tax back
joy,when i knew that my husband and i were go to have a child
joy,win a close volleybal game i m on the intercollegi team at cal
joy,fall in love
joy,i wa veri happi when i got the messag that i had been accept as a student in medicin
joy,when i learn that my parent were go abroad and leav me alon for a few year
joy,when i first came to the campu
joy,after much troubl get togeth in the first place my boyfriend and i celebr our first anniversari
joy,i unexpectedli met a girl with whom i have alwai got along well i had not seen her for sever month
joy,first public speak
joy,i start a new branch of studi after have fail a former on when i got back my exam paper i wa veri happi to know that i almost had full mark
joy,when i got my result i had pass the form iii exam i had not expect to do so well
joy,when my famili allow me to do higher studi
joy,when i wa accept for further educ here at the univers
joy,when i wa admit to the univers
joy,after my marriag i receiv the b sc result by post i wa veri happi to learn that i had got veri good mark first class
joy,my girlfriend sent me a letter with a shini pictur in it
joy,the dai when my son said for the first time mummi
joy,china win the asian olymp game
joy,my first feel of fall in love come across a person who made me feel love happi joi give me a new and beauti futur who made me dream
joy,a parti with no worri i e no test homework etc mani friend were present and good music
joy,the sens of joi come to me alwai after a period of depress as an organ feel for an upsurg i don t exclud the situ feel but in thi case the reason is not in me it s out of me
joy,when to my surpris i got to know about have got veri good high school graduat mark
joy,my son wa born
joy,when i receiv a posit answer from my appeal to withdraw my registr at unza
joy,when i pass the b a exam with first class result
joy,my mother sister and i were think about old time our childhood and we had a veri happi time
joy,after dai of hard work and have suffer mani chang i pass my last exam
joy,when i found out that i can travel with my best friend
joy,when i am with friend and i do what pleas me thi often happen
joy,i realiz the girl like to be with me
joy,my joi wa the joi of meet again my husband came home after have been awai for week for work i wa on the railwai station to meet him
joy,i felt veri happi when i won the footbal pool
joy,thought had discov true love
joy,when fell in love with my present girlfriend
joy,i got a veri good grade on on of my midterm a few week ago
joy,meet best friend at the airport boyfriend who i had miss terribl
joy,i felt vveri happi when i wa accept at unza for my studi i had not expect thi as i had been ill dure the exam
joy,when my brother who ha been out of new zealand for year came to visit with hi wife which none of our famili had previous met
joy,go to a concert
joy,i wa told that i had pass the statist exam i had not expect thi so i wa veri happi
joy,when i final got a job after dai of wonder whether i would be hire or not and count on the monei that it would bring
joy,when i had achiev a goal indirectli i work for cal footbal and our nd win of the season wa veri gratifi and brought our joi becaus of the hard work involv and the fact that no on expect we would win
joy,i got a job right after school wa over
joy,when some friend of mine ask me to go camp with them for a fortnight
joy,renew contact with an earlier friend
joy,hear that i had been success in get a posit wherebi my financi physic spiritu and emot need will be well cater for thi posit fulfil a lot of my aim for the last five year of my life
joy,find my glass again after have lost them in town
joy,found out my wife girl friend pregnant
joy,find out i wa chosen for the english lectur
joy,articl publish
joy,when i found out that i had pass the last two exam by a margin of three mark
joy,when my former boyfriend and i reconcil and he decid that i wa veri import to him i had alwai want us to get back togeth again but had doubt the likelihood of thi so i wa veri happi when my small amount of faith wa vindic
joy,when i went to the pub with a larg group of friend we drank and danc
joy,the last time i had sex
joy,i wa veri pleas and happi when my older sister came home from live somewher out of town and i hadn t seen her for month we ar veri close sister
joy,todai i did a lot better on my architectur project than i expect
joy,receiv a postcard form my sweetheart who wa abroad on vacat not be at all sure if he would write me or not
joy,receiv my result slip pass on my birthdai
joy,won a prize for effort
joy,talk to my close friend
joy,birth of children
joy,sell my us car
joy,manag to run km on ski fairli simpli
joy,yesterdai when i receiv a b on a histori midterm i felt overjoi after have receiv c s previous
joy,when i wa final abl to return to a job that i enjoi do after sever month absenc i wa not need dure thi time
joy,read a letter from a close friend who said he miss me and care for me
joy,get the top price in the footbal pool
joy,easter holidai i had been work weekend and had just left
joy,win a row race at a karapiro regatta with other friend
joy,i wa feel realli low had been a seri of fight with my sibl been under pressur at school and wasn t go to the parti i want to go instead i wa go out with my famili a gui call and said in effect that i wa nice and he like me henc the emot joi
joy,have pass the exam requir to be an author radio tv dealer
joy,get my kitten found at work sever year ago take him home in a box on my motorbik show it to my defacto
joy,hear fran wild introduc the bill
joy,win the local soccer championship thi year wa a great joi
joy,when i receiv the result slip of the higher level examin an univers entranc exam and saw that i had a veri good possibl of be accept into the univers i felt veri excit
joy,i phone a friend of mine to ask her for new about the mark in an exam she told me that i had pass
joy,receiv understand from within self of a subject i had previous wish to understand better
joy,wake in morn earli morn and have whole dai to myself
joy,when i gave birth to my son and saw that he wa aliv and that i had manag it well he wa born a month too earli with a malfunct lung thi happen a year ago
joy,i went home and visit with my famili and friend
joy,when i wa select to a univers colleg of nurs
joy,get my accent letter from cal
joy,i did a solo flight from ardmor to kaikoh befor i got my pilot licenc i can rememb it wa gorgeou dai and i wa on a natur high cruis up the coast with my map and compass and gear other pilot had seen me off and wish me good luck and it wa a real adventur
joy,when i drove partial across the countri with my father we stop in a few town and stai overnight in motel the joi i got wa from the feedom i felt and the real beauti of the countri
joy,reunion with my wife after a legal separ
joy,succeed in help other
joy,return to school and rejoin my girlfriend after month of separ from summer
joy,the feel of joi when again i had confess my sin and experienc god s forgiv grace and cleans power total enlighten and freedom bliss
joy,find out i am chosen to collect norm for chines aphasia i will contribut to china s catch up with the west in neuropsycholog
joy,i gave my mom a gift she want for year i raflect her joi
joy,at my wed stand with the man i love and acknowledg that fact to member of famili and friend
joy,i receiv the messag that i d been accept at the school where i realli want to go
joy,first time i slept with my present girlfriend had been best friend for a year but had been hesit about get involv emotion
joy,after attend a song contest propos by a band call chyne we of us wait for the member of the band to greet us in front of the stage we went out after a few minut as it wa time to close the hall we had been wait at the entranc hall for ten minut when three of the band member came out thei were veri excit to see us on of them wa so excit that he had tear in hi ey we felt veri warm and close to each other thei took us back into the hall and we talk freeli we were togeth for about an hour and dure thi time we felt that thei were veri sincer
joy,receiv close friend form abroad whom i hadn t seen for year
sadness,when a girl did not answer a question concern my love for her put forward to her
sadness,when i wa year old my father travel veri much for hi work he pass three month awai from home
sadness,it wa the time i went home for my holidai onli to find that my sister had pass awai the new had been hidden from me so that i could take my exam
sadness,we went to visit my mother at the resid she wa cry and said that she wa about to die i believ all her complaint and contin thought of the possibl of loos her
sadness,i wa watch a sad film and it affect me deepli
sadness,when the girl i love turn me down
sadness,when my elder brother di
sadness,my dog di of a cerebr tumor
sadness,no respons
sadness,i saw a dead child which wa not cover it had been knock down by a car
sadness,a close friend travel to anoth countri when i knew that he would onli come back after mani year i felt veri sad
sadness,a friend who wa year old di
sadness,i had receiv bad new inform me that grandmoth and grandfath had pass awai the first on to die wa my grandmoth and after two dai grandfath di too
sadness,when i realiz that it wa imposs for me to be as free as i had imagin and that i could not do anythong about it
sadness,in the my boyfriend ask me to forget him as it would be easi
sadness,a friend of mine wa hurt as he thought that our relationship wa not the same as befor and someth had gone wrong
sadness,find out that the univers will give first prioriti to qualifi praction and clinic year to go to your english lectur
sadness,i felt veri sad when a friend of mine fail the final exam and she could not be accept at the institut of learn
sadness,when my famili and i heard of the death of my grandfath we had seen him a few week earlier and it seem that he had just been wait to see us
sadness,when i couldn t go for a trip with my friend in a holidai
sadness,when i becam consciou that men don t wnat anyth thei don t have a goal thei have sex but thi isn t import
sadness,a friend break up with her boyfriend
sadness,when i saw in the newspap on the t v and magazin the chaotic situat caus by the drought and hunger in mauritania
shame,onc i wa not readi for a seminar and i wa ask to leav
shame,as a littl girl i wa sick in the middl of a school dai and i vomit in the basin of the classroom
shame,i felt thi when i wa copi homework for on of my class
shame,i experienc long ago when i wa sightse bulgarian in a foreign languag
shame,fail an examn becaus i did not work hard enough
shame,i wa talk to a friend of mine about our parent and educ i said someth and then realiz that i did not know my friend s parent their motiv and educ i felt asham at have talk about someth i did not know anyth about
shame,argu with a friend over polit she wa more inform on the issu and made me feel veri asham of my polit ignor
